Product_URL,Brand,Description,Id_Product,URL_image,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
https://www.ajio.com/netplay-printed-polo-t-shirt-with-vented-hemline/p/441117496_bluemelange,netplay,Printed Polo T-shirt with Vented Hemline,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210407/xDIi/606cb1dbaeb269a9e385e4be/-286Wx359H-441117496-bluemelange-MODEL.jpg,Men,343,699,bluemelange
https://www.ajio.com/netplay-striped-shirt-with-patch-pocket/p/441123881_navy,netplay,Striped Shirt with Patch Pocket,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210810/fmsp/61118a24aeb269a2686cad7d/-286Wx359H-441123881-navy-MODEL.jpg,Men,599,999,navy
https://www.ajio.com/u-s-polo-assn-mid-wash-slim-fit-jeans/p/469079349_blue,u-s-polo-assn-,Mid-Wash Slim Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220208/MoDk/620171f3f997dd03e2c4868f/-286Wx359H-469079349-blue-MODEL.jpg,Men,"1,674","2,499",blue
https://www.ajio.com/dnmx-lightly-washed-denim-shorts-with-drawstring/p/441124412_grey,dnmx,Lightly Washed Denim Shorts with Drawstring,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211210/f7YC/61b34b2df997ddf8f14b7ad9/-286Wx359H-441124412-grey-MODEL.jpg,Men,749,999,grey
https://www.ajio.com/armani-exchange-logo-print-regular-fit-t-shirt/p/410223786_black,armani-exchange,Logo Print Regular Fit T-shirt,4.10E+11,https://assets.ajio.com/medias/sys_master/root/20210920/ggUm/6148af7caeb269a26899b1c0/-286Wx359H-410223786-black-MODEL.jpg,Men,"4,099","4,999",black
https://www.ajio.com/levis-mid-wash-slim-fit-jeans/p/469084011_blue,levis,Mid-Wash Slim Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220211/ESD6/62055e1baeb26921af928ebc/-286Wx359H-469084011-blue-MODEL.jpg,Men,"1,652","2,899",blue
https://www.ajio.com/netplay-striped-slim-fit-polo-t-shirt-with-cutaway-collar/p/441121560_maroon,netplay,Striped Slim Fit Polo T-shirt with Cutaway Collar,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210904/ZA4M/613278237cdb8cb824167394/-286Wx359H-441121560-maroon-MODEL.jpg,Men,559,699,maroon
https://www.ajio.com/netplay-flat-front-tapered-chinos/p/441116326_jetblack,netplay,Flat-Front Tapered Chinos,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210316/VVuE/6050cd66aeb269698187f233/-286Wx359H-441116326-jetblack-MODEL.jpg,Men,637,"1,299",jetblack
https://www.ajio.com/netplay-slim-fit-flat-front-trousers/p/441137061_khaki,netplay,Slim Fit Flat-Front Trousers,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211228/xP2e/61ca0ccff997ddf8f1632451/-286Wx359H-441137061-khaki-MODEL.jpg,Men,799,999,khaki
https://www.ajio.com/performax-quickdry-crew-neck-t-shirt/p/441120189_mediumblue,performax,Quickdry Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210601/oaZ1/60b53a1ef997ddb312af3d8d/-286Wx359H-441120189-mediumblue-MODEL.jpg,Men,294,599,mediumblue
